,waitlistFlag,sanctionFlag,contactDetails_address_geoLocationDetails_latitude,contactDetails_address_geoLocationDetails_longitude,Room Size,home,maximumRAD,maximumDAP
7522,False,False,-41.5930385,147.1195411,17m2,Toosey Aged and Community Care,395000.0,67.96
7523,False,False,-41.5930385,147.1195411,17m2,Toosey Aged and Community Care,475000.0,81.73
7524,False,False,-41.5930385,147.1195411,17m2,Toosey Aged and Community Care,395000.0,67.96
7525,False,False,-41.5930385,147.1195411,21.1m2,Toosey Aged and Community Care,475000.0,81.73
7526,False,False,-41.5930385,147.1195411,17m2,Toosey Aged and Community Care,395000.0,67.96
7527,False,False,-41.5930385,147.1195411,17m2,Toosey Aged and Community Care,395000.0,67.96
7528,False,False,-41.5930385,147.1195411,21.1m2,Toosey Aged and Community Care,475000.0,81.73
7529,False,False,-41.5930385,147.1195411,17m2,Toosey Aged and Community Care,395000.0,67.96
7530,False,False,-41.5930385,147.1195411,17m2,Toosey Aged and Community Care,395000.0,67.96
7531,False,False,-41.5930385,147.1195411,19.2m2,Toosey Aged and Community Care,475000.0,81.73
7532,False,False,-41.5930385,147.1195411,17m2,Toosey Aged and Community Care,395000.0,67.96
7533,False,False,-41.5930385,147.1195411,17m2,Toosey Aged and Community Care,395000.0,67.96
7534,False,False,-41.5930385,147.1195411,19.2m2,Toosey Aged and Community Care,475000.0,81.73
7535,False,False,-41.5930385,147.1195411,17m2,Toosey Aged and Community Care,395000.0,67.96
7536,False,False,-41.5930385,147.1195411,17m2,Toosey Aged and Community Care,395000.0,67.96
7537,False,False,-41.5930385,147.1195411,17.3m2,Toosey Aged and Community Care,250000.0,43.01
7538,False,False,-41.5930385,147.1195411,17m2,Toosey Aged and Community Care,475000.0,81.73
7539,False,False,-41.5930385,147.1195411,17.7m2,Toosey Aged and Community Care,395000.0,67.96
7540,False,False,-41.5930385,147.1195411,17m2,Toosey Aged and Community Care,395000.0,67.96
7541,False,False,-41.5930385,147.1195411,17.7m2,Toosey Aged and Community Care,395000.0,67.96
7542,False,False,-41.5930385,147.1195411,17m2,Toosey Aged and Community Care,475000.0,81.73
7543,False,False,-41.5930385,147.1195411,17.7m2,Toosey Aged and Community Care,395000.0,67.96
7545,True,False,-25.295981,152.8655516,15,Torbay Hostel,400000.0,68.82
7546,True,False,-25.295981,152.8655516,16.32,Torbay Hostel,350000.0,60.22
7547,True,False,-25.295981,152.8655516,26.5,Torbay Hostel,450000.0,77.42
7549,True,False,-25.295981,152.8655516,26.3,Torbay Hostel,500000.0,86.03
7550,True,False,-25.295981,152.8655516,15,Torbay Hostel,500000.0,86.03
7552,True,False,-25.295981,152.8655516,15,Torbay Hostel,350000.0,60.22
7554,True,False,-33.2605705,151.5421619,10-22 m2,Toukley Aged Care Facility,350000.0,60.22
7563,True,False,-37.3867364,144.3275985,9 square metres,Trentham Nursing Home,350000.0,60.22
7564,True,False,-36.7452526,141.937601,9 square metres,Trescowthick House Hostel,350000.0,60.22
7570,True,False,-27.6305467,153.0944893,At least 16 sq mt.,Trinder Park,330000.0,56.78
7572,True,False,-27.6305467,153.0944893,At least 16 sq mt.,Trinder Park,330000.0,56.78
7573,True,False,-27.6305467,153.0944893,At least 16 sq mt.,Trinder Park,350000.0,60.22
7574,True,False,-27.6305467,153.0944893,At least 20 sq mt.,Trinder Park,400000.0,68.82
7575,True,False,-31.83991,115.76429,At least 20 sq mt.,Trinity Village,400000.0,68.82
7576,True,False,-33.5775889,115.815516,14,Tuia Lodge,300000.0,51.62
7577,True,False,-33.5775889,115.815516,18,Tuia Lodge,0.0,0.0
7578,True,False,-33.5775889,115.815516,16,Tuia Lodge,0.0,0.0
7579,True,False,-33.5775889,115.815516,16.5,Tuia Lodge,0.0,0.0
7580,False,False,-17.9250932,145.9230447,30.35,Tully & District Nursing Home,450000.0,77.42
7581,False,False,-17.9250932,145.9230447,17.85,Tully & District Nursing Home,375000.0,64.52
7582,False,False,-17.9250932,145.9230447,17.85,Tully & District Nursing Home,375000.0,64.52
7593,True,False,-37.7321662,145.0369909,17 to 21 m2,Twin Parks Aged Care Centre,550000.0,94.63
7596,True,False,-37.7321662,145.0369909,14 to 19 m2,Twin Parks Aged Care Centre,500000.0,86.03
7597,False,False,-41.477249,147.1252336,14 to 19 m2,Tyler Village,500000.0,86.03
7598,True,False,-41.3803429,147.1247249,14 to 19 m2,Uniting AgeWell Aldersgate Village,500000.0,86.03
7599,True,False,-37.802652,145.028397,Minimum 9.5 (m2).  Maximum 13.9 (m2).,Uniting AgeWell Carnsworth,550000.0,94.63
7607,True,False,-37.8430264,145.0919031,Minimum size 10.5 (m2) Maximum size 17.2 (m2),Uniting AgeWell Condare Court,550000.0,94.63
7609,True,False,-37.8948824,144.994735,16.1 (m2),Uniting AgeWell Girrawheen,350000.0,60.22
7613,True,False,-38.1805668,144.3486428,Minimum 11.4 (m2).  Maximum 18.1 (m2).,Uniting AgeWell Kalkee Murray,200000.0,34.41
7614,True,False,-38.1805668,144.3486428,Minimum 11.4 (m2).  Maximum 18.1 (m2).,Uniting AgeWell Kalkee Murray,300000.0,51.62
7616,True,False,,,Minimum 11.3 (m2). Maximum 15.9 (m2).,Uniting AgeWell Kalkee Nangatta,300000.0,51.62
7617,False,False,,,Minimum 15.1 (m2).  Maximum 18.7 (m2).,Uniting AgeWell Kingsville,350000.0,60.22
7618,False,False,,,Minimum 15.1 (m2).  Maximum 18.7 (m2).,Uniting AgeWell Kingsville,550000.0,94.63
7622,True,False,,,Minimum 14.8 (m2).  Maximum 21.7 (m2).,Uniting AgeWell Manor Lakes,350000.0,60.22
7623,True,False,-42.7852242,147.5566697,Minimum 14.8 (m2).  Maximum 21.7 (m2).,Uniting AgeWell Ningana,350000.0,60.22
7626,True,False,-37.9672331,145.1905744,Minimum 15.0 (m2).  Maximum 20.5 (m2).,Uniting AgeWell Noble Park,550000.0,94.63
7627,True,False,-42.9048601,147.3313324,20.5 (m2),Uniting AgeWell Queenborough Rise,550000.0,94.63
7628,True,False,-42.9048601,147.3313324,20.5 (m2),Uniting AgeWell Queenborough Rise,450000.0,77.42
7629,True,False,-42.9048601,147.3313324,20.5 (m2),Uniting AgeWell Queenborough Rise,500000.0,86.03
